epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,2262.32,1.33904,1.78992,2.8201,0.01072,0.82178,0.42901,0.4127,0.35707,0.16829,0.40494,0.40122,0.32534,0.17029,1.84877,2.90642,4.40821,0.02172,0,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,2312.58,1.37256,1.78197,2.91643,0.01097,0.79679,0.43732,0.40152,0.34803,0.17703,0.44366,0.39928,0.3334,0.17739,1.74526,2.90111,4.72237,0.02054,0,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,2362.9,1.35381,1.76381,2.86746,0.01051,0.83774,0.42656,0.43868,0.37112,0.18945,0.38986,0.39593,0.35158,0.18767,1.76841,2.76237,4.23646,0.02086,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,2413.08,1.31299,1.71784,2.77557,0.01065,0.78087,0.41681,0.44323,0.37914,0.20097,0.40207,0.37843,0.35793,0.20244,1.78258,2.9864,5.06228,0.02108,0,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,2462.81,1.32441,1.74356,2.67758,0.01046,0.81129,0.47667,0.4578,0.40356,0.21368,0.47076,0.4243,0.3906,0.2148,1.68654,2.98831,4.15844,0.01971,0,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,2513.9,1.33032,1.72503,2.84308,0.01089,0.80742,0.42068,0.41629,0.36621,0.20298,0.4311,0.4183,0.36078,0.20707,1.76081,2.96172,4.35142,0.02063,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,2564.69,1.32101,1.6736,2.64001,0.01047,0.72032,0.43494,0.37563,0.38084,0.19529,0.42298,0.36554,0.35729,0.19551,1.7858,2.86684,4.58612,0.0209,0,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,2614.81,1.34206,1.72431,2.59444,0.01134,0.74983,0.36313,0.43968,0.36724,0.19246,0.4867,0.3712,0.35961,0.19551,1.77777,2.92913,4.36189,0.02073,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2665.25,1.36172,1.71601,2.70456,0.01105,0.76924,0.42084,0.46285,0.39725,0.19452,0.42212,0.43784,0.36717,0.19308,1.74734,2.90334,4.20684,0.02036,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,2715.12,1.29868,1.68629,2.46943,0.01068,0.77004,0.41369,0.42279,0.39809,0.21169,0.46815,0.38258,0.38138,0.20034,1.73292,2.9362,4.35191,0.02006,0,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,2765.15,1.33846,1.72908,2.64501,0.01129,0.76261,0.44404,0.46705,0.40834,0.2159,0.41708,0.43227,0.38488,0.21348,1.76553,2.91393,4.51299,0.02081,0,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,2816.66,1.29224,1.67405,2.7283,0.01026,0.75412,0.44832,0.44346,0.39695,0.20486,0.42614,0.42015,0.36651,0.20522,1.75396,3.04199,4.40023,0.02079,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,2867.34,1.27216,1.61862,2.5041,0.01013,0.75892,0.42952,0.43504,0.38228,0.20322,0.44274,0.42389,0.38703,0.20422,1.73615,2.95367,4.41911,0.02028,0,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,2917.8,1.28862,1.67155,2.49862,0.01047,0.73088,0.45567,0.37873,0.3773,0.19926,0.44155,0.39671,0.3709,0.2009,1.75463,2.85594,4.29879,0.01996,0,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,2967.96,1.30035,1.67281,2.45476,0.00999,0.68126,0.52524,0.43104,0.43158,0.2109,0.44101,0.45422,0.4093,0.21225,1.8045,3.08593,4.37785,0.02121,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,3018.2,1.28533,1.61166,2.29486,0.01006,0.69556,0.46672,0.46696,0.41345,0.20821,0.43989,0.42813,0.38023,0.21238,1.78183,2.98893,4.18823,0.02123,0,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,3068.36,1.25371,1.59935,2.30951,0.00995,0.68334,0.49699,0.4417,0.42083,0.20226,0.45501,0.39919,0.37567,0.20277,1.78146,3.02398,4.36797,0.02131,0,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,3118.77,1.25627,1.60117,2.35534,0.0102,0.68949,0.46059,0.4653,0.41194,0.2071,0.44027,0.44527,0.37822,0.20171,1.73832,2.93884,4.363,0.02043,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,3169.49,1.25278,1.57707,2.21235,0.00993,0.66477,0.457,0.45572,0.40528,0.21297,0.46437,0.43054,0.39133,0.21942,1.7494,2.93643,4.26142,0.02061,0,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,3220.65,1.26573,1.5375,2.29263,0.00991,0.66387,0.52605,0.39357,0.37538,0.20675,0.53223,0.37606,0.35476,0.20942,1.824,2.93369,4.75414,0.02168,0,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
