epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,2022,1.21741,1.56142,1.38215,0.00956,0.79551,0.5213,0.38045,0.38512,0.21837,0.49251,0.35479,0.35305,0.20608,1.70201,3.14773,2.26159,0.01956,0,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,2074.97,1.21478,1.60001,1.40857,0.00961,0.80464,0.44181,0.39263,0.37577,0.21249,0.43495,0.37772,0.35083,0.20418,1.72327,3.10504,2.67722,0.02016,0,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,2125.49,1.20919,1.614,1.42685,0.00924,0.79358,0.47109,0.38492,0.40262,0.22491,0.47166,0.37254,0.38038,0.22077,1.72852,3.0582,2.36397,0.02015,0,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,2176.88,1.22398,1.63117,1.38749,0.00959,0.78154,0.38704,0.45203,0.38471,0.21826,0.52849,0.37195,0.371,0.20687,1.73957,3.09263,2.18232,0.02037,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,2227.89,1.23444,1.69364,1.43545,0.00991,0.82434,0.44556,0.37957,0.37512,0.20717,0.47331,0.38732,0.36747,0.20053,1.78353,2.93858,2.26177,0.02117,0,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,2279.73,1.23067,1.56379,1.36472,0.00979,0.80586,0.48864,0.38002,0.39199,0.2118,0.50285,0.3797,0.37654,0.21215,1.73187,3.02212,2.2093,0.02015,0,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,2331.31,1.20508,1.57008,1.34276,0.00944,0.74357,0.50949,0.37408,0.39858,0.20457,0.4591,0.37507,0.35592,0.19185,1.78545,2.96602,2.26535,0.02104,0,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,2382.12,1.25782,1.62237,1.39886,0.00959,0.81333,0.42284,0.43066,0.39548,0.22091,0.42338,0.43138,0.38021,0.21085,1.71928,2.86737,2.13548,0.02039,0,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,2433.49,1.2029,1.59394,1.34558,0.00942,0.79755,0.43752,0.48619,0.39688,0.21305,0.41567,0.42877,0.36939,0.2098,1.76016,3.01455,2.19423,0.02091,0,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,2484.25,1.20122,1.57189,1.35301,0.0094,0.8252,0.44674,0.34987,0.35528,0.18494,0.43008,0.3402,0.32558,0.17744,1.81498,3.14448,2.67679,0.0213,0,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,2537.77,1.23741,1.64627,1.40549,0.00968,0.82287,0.46916,0.41523,0.40837,0.22019,0.52183,0.40846,0.39715,0.2105,1.78052,3.03568,2.1603,0.02087,0,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,2590.6,1.19595,1.50401,1.29745,0.00931,0.73525,0.51168,0.40553,0.41217,0.2224,0.50768,0.40864,0.39443,0.22181,1.74687,3.16253,2.18576,0.02034,0,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,2642.14,1.20838,1.55158,1.35473,0.00966,0.79511,0.5547,0.43061,0.43451,0.2255,0.51605,0.39384,0.38358,0.21969,1.76178,3.10244,2.14522,0.02081,0,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,2692.8,1.2071,1.53928,1.31155,0.00929,0.73045,0.45034,0.4511,0.41281,0.21386,0.42711,0.42487,0.37322,0.20252,1.73562,3.09904,2.18896,0.02045,0,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,2746.36,1.17861,1.48832,1.29152,0.00907,0.7825,0.46431,0.44568,0.42402,0.21478,0.44493,0.42746,0.38477,0.21659,1.76419,3.20534,2.22353,0.02064,0,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,2798.01,1.18996,1.56385,1.28746,0.00931,0.70923,0.45851,0.44265,0.41931,0.22997,0.49733,0.38845,0.39139,0.22269,1.74628,3.14475,2.25047,0.02062,0,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,2848.86,1.19755,1.55186,1.30928,0.00924,0.74668,0.45672,0.38129,0.39168,0.21106,0.43158,0.38769,0.37071,0.21151,1.77016,3.00419,2.13296,0.02092,0,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
